めいちょう	鳴潮	固有名詞	
つなみきゅう	津波級	名詞	
どとうきゅう	怒涛級	名詞	
きょろうきゅう	巨浪級	名詞	
すいふうきゅう	水風級	名詞	
きょうめいかいほう	共鳴開放	名詞	
きょうめいかいろ	共鳴回路	名詞	
しゅうそう	終奏	名詞	
へんそう	変奏	名詞	
きょうそう	協奏	名詞	
きょうしんど	共振度	名詞	
おんがい	音骸	名詞	
けっしょうはちょうばん	結晶波長板	名詞	
けっしょうはちょうようざい	結晶波長溶剤	名詞	
けっしょうはちょうせいれんばん	結晶波長精錬板	名詞	
ぎょうそりょういき	凝素領域	名詞	
はんきょうりょういき	反響領域	名詞	
かいしょく	海蝕	名詞	
ざんじょうちょう	残像潮	名詞	
てんくうかい	天空海	名詞	
そかいあめ	溯洄雨	名詞	
めいしき	鳴式	名詞	
むそうせんしゅ	無相燹主	名詞	
そのら	音場	名詞	
おんこう	音匣	名詞	
おんこん	音痕	名詞	
さいしゅ	歳主	名詞	
しんごうとう	信号塔	名詞	
れいいん	令尹	名詞	
こんれいいん	今令尹	名詞	
かじょりん	哥舒臨	名詞	
けいとかい	競渡会	名詞	
げっついさい	月追祭	名詞	
しゅんりゅうさい	春龍祭	名詞	
いんかいきょうだん	隠海教団	名詞	
かいゆうのくじら	回遊の鯨	名詞	
そりゅうき	溯流器	名詞	
しょくてい	稷廷	名詞	
ぎょうしゅく	凝縮	名詞	
しょうねつ	焦熱	名詞	
でんどう	電導	名詞	
きどう	気動	名詞	
かいせつ	回折	名詞	
しょうめつ	消滅	名詞	
ちょうじん	長刃	名詞	
じんとう	迅刀	名詞	
けんじゅう	拳銃	名詞	
てっこう	手甲	名詞	
ぞうふくき	増幅器	名詞	
あーると	アールト	人名	
えんぶ	淵武	人名	
さんか	散華	人名	
しか	熾霞	人名	
たおき	桃祈	人名	
たんきん	丹瑾	人名	
びゃくし	白芷	人名	
もるとふぃー	モルトフィー	人名	
やんやん	秧秧	人名	
あんこ	アンコ	人名	
ゔぇりーな	ヴェリーナ	人名	
かかろ	カカロ	人名	
かんしん	鑑心	人名	
りんよう	凌陽	人名	
きえん	忌炎	人名	
いんりん	吟霖	人名	
ちょうり	長離	人名	
こんし	今汐	人名	
おりえ	折枝	人名	
そうりよう	相里要	人名	
とうとう	灯灯	人名	
しょあきーぱー	ショアキーパー	人名	
ゆうご	釉瑚	人名	
つばき	ツバキ	人名	
かるろった	カルロッタ	人名	
ふぃーびー	フィービー	人名	
ろここ	ロココ	人名	
ぶらんと	ブラント	人名	
かんたれら	カンタレラ	人名	
かるてじあ	カルテジア	人名	
しゃこんぬ	シャコンヌ	人名	
るぱ	ルパ	人名	
ふろーヴぁ	フローヴァ	人名	
おーがすた	オーガスタ	人名	
ゆーの	ユーノ	人名	
がるぶれーな	ガルブレーナ	人名
きゅうえん	仇遠	人名	
ちさ	千咲	人名	
ぼくれい	卜霊	人名	
りんねー	リンネー	人名	
もーにえ	モーニエ	人名	
えいめす	エイメス	人名	
りゅーくへるせん	リューク・ヘルセン	人名	
るしらー	ルシラー	人名	
しぐりか	シグリカ	人名	
いっていろくしゅう	一庭六州	地名	
こんしゅう	今州	地名	
こんしゅうじょう	今州城	地名	
へんてい	辺庭	地名	
こうらんるいしょ	瑝覧類書	地名	
うんりょうだに	雲陵谷	地名	
きらいのみなと	帰来の港	地名	
じょうしょうさん	乗霄山	地名	
りゅうみんてい	龍眠庭	地名	
こうちん	虹鎮	地名	
むぼうしゃ	無妄者	名詞	
かく	角	名詞	
らいせつのうろこ	雷刹のウロコ	名詞	
りょうげんのえんき	燎原の炎騎	名詞	
むじょうのさぎ	無情のサギ	名詞	
かがやきほたるのぐんぜい	輝き蛍の軍勢	名詞	
ひれんのおおざる	飛廉の大猿	名詞	
あいせつのきょうちょう	哀切の凶鳥	名詞	
むかんしゃ	無冠者	名詞	
きかいあぼみねーしょん	機械アボミネーション	名詞	
うんせんのうろこ	雲閃のウロコ	名詞	
なげきのどれいく	嘆きのドレイク	名詞	
とうはく	踏白	組織	
じゅんねいじょ	巡寧所	組織	
かそけんきゅういん	華胥研究院	組織	
てんこうへんきょうぼうえい	天工辺境防衛	組織	
ずいしだん	瑞獅団	組織	
こうりゅうだん	絞龍団	組織	
ごーすとはうんど	幽霊猟犬	組織	
ふらくとしです	残星組織	組織	
せんくじょうやく	先駆条約	組織	
